id	filename	md5	size	state
f201ba16-5cb7-42d0-9865-e413fffa3532	8fa3359f-1e40-448a-aae8-a955c1ca3323.rna_seq.augmented_star_gene_counts.tsv	7f325759820eec2b59903b524ead48b9	4233317	released
6aacb3f6-6a4a-419f-9022-99380a2e27d8	nationwidechildrens.org_clinical.TCGA-97-8176.xml	92bb5c74be33cf69afb5284705ae6546	78877	released
69933ac8-e7a7-43b6-8231-2ecb35f88d52	c9d8385a-9f73-48f9-bca4-1c0647881bfd.rna_seq.augmented_star_gene_counts.tsv	8eafe6fede10733417326ed7b3e61f12	4235050	released
ffec28dd-cc44-4057-bcc3-ccc0cd2331c2	d21d91e9-6e19-4c5f-aa2e-cdd41d98e542.rna_seq.augmented_star_gene_counts.tsv	ea7b5b0033e14dc6c804d58059f6ac0c	4236967	released
a04b377c-58fe-4478-9400-b7797fb84b08	nationwidechildrens.org_clinical.TCGA-91-6829.xml	cd1f7655825ab75b212f55de854d3f64	34711	released
1876b908-e911-464f-be23-2b4eae0a43b6	6efebff1-f165-415e-9001-45a782638785.rna_seq.augmented_star_gene_counts.tsv	69ab93a934179bda2077ed5915cc637a	4237227	released
7e8d4e7b-ac32-49a5-a1db-7b7d01104d6a	nationwidechildrens.org_clinical.TCGA-49-6744.xml	66c25c2d9d83b4d6aaece384b39c37c1	48836	released
9c7f6057-8225-4447-adb3-aed12aa974ad	b277d25a-5485-465a-bef3-db30dc75caa8.rna_seq.augmented_star_gene_counts.tsv	a12b713fdbbf346ace023d9ebfc97782	4227744	released
1b6d68c6-f58d-4b21-9a68-7b309f9cbf39	nationwidechildrens.org_clinical.TCGA-55-A48Z.xml	2f6bbebaaa56c4439d0a5f09626fd6c5	56783	released
c97d6c2a-9866-4893-8cff-ee747c4a4550	2f8abb88-ae9f-4315-bcad-4263862bd11b.rna_seq.augmented_star_gene_counts.tsv	50284d5270fbfe9576deaaedefa3337f	4231897	released
1f9d0790-5ada-421f-b388-4618f9e140d0	nationwidechildrens.org_clinical.TCGA-78-8660.xml	9ea1bbbb92fc19697147559057ee5793	32136	released
bbb426a9-806b-4417-a3cd-4dd1b0c87792	ad73d464-c21b-4d07-9f89-a322f9366f1c.rna_seq.augmented_star_gene_counts.tsv	dd21298c62186596b101ad4c9364ccf6	4227111	released
3a12aa52-18a6-4b93-9dfa-fa20b42995df	nationwidechildrens.org_clinical.TCGA-55-6978.xml	5dfa08a6543f194baad0d0af9911f9d4	39529	released
b6a0d742-e7bc-4d67-8014-675e62f1ddd0	df3e51ff-63ad-45c2-ba71-676c5eb6b9e0.rna_seq.augmented_star_gene_counts.tsv	69dbc0c2623194f3587913c64661a3b0	4251429	released
deddc259-f962-468a-bfcf-60da1e695833	d34f0d3c-a058-4569-a8c8-380ada182e76.rna_seq.augmented_star_gene_counts.tsv	6af5bf4748e870fd24ec95a64192037d	4248771	released
1ae079d5-e781-4f0e-b2ae-ffd662b5c586	nationwidechildrens.org_clinical.TCGA-64-5779.xml	434b863fe337ed422a7835c5ce157bfe	81950	released
6f3247ca-a7d0-4e9c-b2e7-46ee6a694650	nationwidechildrens.org_clinical.TCGA-80-5611.xml	b1750a9ab7f4217a70f7ec78886ff4f0	42684	released
e4c76164-2e57-4a72-8c62-efd5948b1b2a	nationwidechildrens.org_clinical.TCGA-64-1680.xml	20c607239885be8b156d01ff10881496	45177	released
932ccb56-ad41-40a0-9ab3-21f490c60af5	a7c58df0-fffc-4a80-85c4-2dab24b2edc2.rna_seq.augmented_star_gene_counts.tsv	e37b951d9ce5c8bee53247c5f4d80955	4243811	released
62cdda72-a90e-49e7-9423-24540d696049	ed4e21ee-1471-479e-af75-72c91986787a.rna_seq.augmented_star_gene_counts.tsv	dc44c4bafed2c3e608eb6cb78ec86701	4223246	released
63164f5c-b1ff-4331-91c6-305e78cb5750	nationwidechildrens.org_clinical.TCGA-97-7552.xml	1d78e4383762965565afc96b53d59b02	43059	released
071a62ba-c42e-4cb3-bfb8-117a2cdf6c15	nationwidechildrens.org_clinical.TCGA-97-7546.xml	c1621a77989652905639bc2cdef15280	45733	released
6bec00ac-81d0-4f29-bb4d-99102992914c	0326e97a-2ec7-4038-98f3-03d94962d869.rna_seq.augmented_star_gene_counts.tsv	a733db7feddb683bbf4ce002ae40c570	4241905	released
8a884668-03c2-44bb-8ea0-5b0d0bc68aa4	c8e5ea6c-c6b1-4807-8d9f-b2e96154a1eb.rna_seq.augmented_star_gene_counts.tsv	041a0de4e94a309df0391132ec129e3c	4230058	released
74f5afd7-8356-4d98-ba70-4905447ac815	nationwidechildrens.org_clinical.TCGA-69-7763.xml	820307780e35056e28de8fee7c153f7d	34773	released
2b372e98-62dd-4e7a-949d-ba4f95a01e01	nationwidechildrens.org_clinical.TCGA-55-7911.xml	92fe992ed68bfb8f34815287e53a9a09	39875	released
eeacf4ac-09cf-41a8-8066-c38a173e61b4	73d96384-ebea-4467-8663-ada78336233c.rna_seq.augmented_star_gene_counts.tsv	2cc78fd591338744298101f62ddefcb9	4239848	released
10c40ba8-e326-480d-b336-9fe697925acf	nationwidechildrens.org_clinical.TCGA-44-5644.xml	604702eebb295f5d6b6716e2bcf3ab34	42939	released
23ab7447-ba7a-4947-bacf-2c0b209b38cf	e89ecf81-4892-48c8-be13-926f92d5ec97.rna_seq.augmented_star_gene_counts.tsv	0ed3b7ac747cca1ba51081f22c1cf742	4231458	released
